age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
27,2,2,PhD,Full-time,57,Same Religion,1,5,2,Aggressive,4,0,0,0,5,4,Love,0,0,6,0
33,20,1,Bachelor,Full-time,19,Same Religion,0,7,0,Collaborative,4,0,1,0,4,2,Other,0,0,8,1
29,1,0,Master,Full-time,59,Same Religion,1,3,1,Aggressive,5,0,1,0,8,3,Love,0,0,6,1
24,21,2,Master,Part-time,76,Not Religious,1,5,0,Aggressive,4,0,0,1,5,3,Love,1,0,1,0
29,3,2,Bachelor,Full-time,79,Not Religious,1,7,1,Collaborative,2,0,0,1,5,4,Love,1,0,4,0
35,3,0,Bachelor,Full-time,86,Same Religion,0,7,4,Collaborative,5,1,0,0,2,4,Arranged,1,0,8,0
27,7,3,Bachelor,Homemaker,47,Same Religion,1,7,3,Collaborative,9,1,0,0,2,1,Love,0,0,5,1
35,28,0,Bachelor,Part-time,52,Not Religious,1,6,0,Passive,7,0,0,0,6,3,Love,0,0,6,0
18,1,0,High School,Full-time,58,Same Religion,1,6,2,Collaborative,2,0,0,1,7,4,Love,0,0,7,1
32,4,2,Bachelor,Full-time,74,Different Religion,0,7,3,Avoidant,1,0,0,0,9,2,Love,1,0,6,1
28,19,4,No Formal Education,Full-time,55,Same Religion,1,7,1,Collaborative,6,0,0,1,6,4,Love,1,0,3,0
26,5,1,High School,Full-time,70,Same Religion,0,7,0,Collaborative,6,0,0,0,6,3,Love,0,0,3,0
28,2,3,Bachelor,Part-time,52,Same Religion,1,4,3,Collaborative,6,0,0,0,5,3,Other,1,0,6,1
18,5,3,Master,Part-time,46,Same Religion,1,10,1,Collaborative,5,0,0,1,7,5,Love,1,0,8,0
26,4,2,Bachelor,Full-time,82,Different Religion,1,6,1,Aggressive,2,0,0,0,7,3,Other,1,0,10,0
29,24,1,Bachelor,Part-time,66,Not Religious,0,6,3,Avoidant,9,0,0,1,5,2,Love,1,0,10,1
35,14,3,Master,Full-time,75,Same Religion,1,5,0,Collaborative,5,0,0,0,5,1,Love,0,1,7,1
25,7,4,Bachelor,Full-time,56,Not Religious,1,6,4,Collaborative,4,0,0,1,3,4,Love,1,0,8,0
23,40,2,High School,Unemployed,76,Different Religion,1,3,1,Collaborative,6,0,0,0,5,3,Love,0,0,7,1
25,6,2,No Formal Education,Full-time,39,Same Religion,0,5,4,Avoidant,4,0,0,0,7,3,Love,1,0,4,0
32,1,3,Bachelor,Full-time,42,Same Religion,1,2,3,Collaborative,2,0,0,0,7,3,Arranged,1,0,4,1
29,3,0,Bachelor,Homemaker,79,Different Religion,1,5,2,Avoidant,4,0,1,0,4,4,Love,0,0,6,1
25,5,1,Bachelor,Full-time,59,Same Religion,1,6,2,Collaborative,6,0,0,1,3,3,Love,1,1,8,0
30,1,1,High School,Full-time,55,Same Religion,1,7,1,Collaborative,8,0,0,0,5,2,Arranged,0,0,4,1
28,29,1,No Formal Education,Unemployed,42,Not Religious,1,6,0,Collaborative,1,0,0,0,10,4,Love,1,0,6,0
32,14,2,Master,Part-time,76,Different Religion,1,7,1,Collaborative,6,1,0,1,7,0,Love,1,0,8,0
24,3,4,High School,Unemployed,97,Same Religion,1,3,1,Collaborative,7,1,0,0,4,4,Love,1,0,6,1
26,8,2,No Formal Education,Full-time,72,Same Religion,1,6,3,Avoidant,6,0,0,0,5,4,Love,0,0,6,0
26,12,2,Master,Full-time,51,Same Religion,1,9,0,Collaborative,7,0,0,1,4,1,Arranged,1,0,8,0
20,28,0,Bachelor,Full-time,88,Same Religion,1,7,2,Avoidant,9,0,0,0,7,4,Love,0,0,10,0
29,21,4,Bachelor,Part-time,67,Same Religion,0,5,2,Collaborative,7,0,1,0,3,1,Love,0,0,4,1
29,7,2,High School,Full-time,51,Same Religion,1,6,4,Collaborative,4,0,1,0,8,6,Love,0,0,6,0
28,14,1,Bachelor,Part-time,86,Same Religion,1,9,2,Collaborative,7,0,0,1,6,0,Love,1,0,10,0
26,8,0,High School,Full-time,56,Different Religion,0,7,0,Avoidant,5,0,1,0,6,2,Love,0,0,6,1
20,8,2,Bachelor,Full-time,31,Same Religion,1,7,2,Aggressive,7,0,0,0,4,1,Love,1,0,4,0
25,1,4,Bachelor,Full-time,54,Same Religion,1,4,2,Collaborative,2,0,0,0,5,2,Love,1,0,7,0
26,1,0,Master,Homemaker,71,Same Religion,1,5,4,Aggressive,5,0,0,0,2,4,Arranged,0,0,6,0
23,7,0,Master,Homemaker,46,Same Religion,1,6,2,Aggressive,7,0,0,0,6,8,Love,0,0,3,0
27,3,2,High School,Homemaker,23,Same Religion,1,10,1,Collaborative,5,1,0,1,8,1,Love,0,0,5,0
30,1,0,Master,Full-time,89,Same Religion,0,4,4,Avoidant,6,0,1,0,4,3,Love,1,1,8,0
37,12,1,Bachelor,Full-time,120,Same Religion,1,7,4,Collaborative,8,0,0,1,6,6,Love,1,0,5,1
28,1,2,Bachelor,Full-time,50,Same Religion,1,7,2,Collaborative,4,0,0,0,4,7,Love,1,0,7,1
29,9,1,High School,Part-time,47,Not Religious,0,7,0,Avoidant,7,0,0,0,4,6,Arranged,1,0,10,0
27,7,1,Master,Full-time,33,Same Religion,1,6,3,Aggressive,2,0,1,0,4,1,Love,1,0,4,0
18,34,0,PhD,Full-time,44,Same Religion,1,5,2,Avoidant,7,0,0,1,8,4,Love,0,0,6,1
27,6,0,Master,Full-time,29,Same Religion,1,10,1,Collaborative,1,0,0,1,6,5,Arranged,0,1,7,1
28,1,0,PhD,Full-time,34,Not Religious,0,5,2,Collaborative,5,0,1,1,4,3,Love,0,0,7,0
40,8,0,Bachelor,Full-time,60,Not Religious,1,5,1,Aggressive,5,0,1,0,7,6,Love,1,0,7,0
27,18,2,Master,Full-time,28,Same Religion,1,8,3,Aggressive,9,0,0,0,4,0,Other,1,0,6,1
29,40,5,Bachelor,Full-time,31,Same Religion,1,6,1,Collaborative,4,0,0,0,6,6,Love,1,0,7,0
27,5,2,High School,Full-time,64,Same Religion,1,3,1,Collaborative,1,0,0,0,6,3,Love,1,0,5,0
22,3,1,Bachelor,Part-time,48,Same Religion,1,8,4,Collaborative,6,0,1,0,8,5,Love,0,0,5,0
33,23,4,Bachelor,Unemployed,67,Same Religion,1,5,0,Avoidant,2,0,0,0,6,3,Love,0,0,6,0
31,2,0,High School,Full-time,53,Same Religion,1,5,5,Collaborative,5,0,1,0,7,1,Love,0,0,9,1
31,9,1,High School,Unemployed,56,Same Religion,0,10,4,Aggressive,3,0,0,0,5,5,Love,1,0,5,1
23,5,0,High School,Full-time,76,Same Religion,0,6,1,Aggressive,4,0,1,0,7,3,Love,1,0,9,1
35,1,2,Bachelor,Full-time,49,Same Religion,0,6,4,Passive,1,0,0,1,5,4,Love,1,0,3,1
20,4,0,High School,Part-time,74,Not Religious,1,8,0,Avoidant,1,1,0,0,7,4,Other,1,0,8,0
30,3,0,High School,Homemaker,52,Same Religion,1,4,1,Avoidant,6,0,0,0,7,6,Love,0,0,8,0
38,11,4,Bachelor,Part-time,44,Different Religion,1,7,1,Aggressive,5,0,0,0,10,3,Love,1,0,6,1
23,29,3,No Formal Education,Full-time,39,Same Religion,1,8,2,Aggressive,2,0,0,0,1,3,Love,1,0,10,1
25,3,2,Master,Part-time,27,Same Religion,1,9,0,Collaborative,4,0,0,0,4,1,Love,0,0,6,1
28,16,3,Bachelor,Full-time,35,Not Religious,1,7,5,Aggressive,6,0,0,0,3,4,Arranged,1,0,7,1
25,1,1,No Formal Education,Full-time,25,Same Religion,1,4,4,Collaborative,4,0,0,1,4,4,Love,0,0,4,0
20,7,1,Bachelor,Full-time,40,Same Religion,1,7,0,Collaborative,6,0,0,0,6,4,Love,0,0,6,0
28,1,0,Bachelor,Part-time,76,Same Religion,1,3,1,Collaborative,3,0,0,0,6,2,Love,0,0,4,0
22,27,0,Bachelor,Full-time,60,Same Religion,1,8,0,Aggressive,6,0,0,0,8,1,Love,0,0,1,0
30,14,1,Bachelor,Unemployed,52,Same Religion,0,8,1,Aggressive,4,1,1,1,8,3,Love,1,0,8,1
23,10,1,High School,Part-time,46,Same Religion,1,6,3,Collaborative,6,0,0,0,6,3,Arranged,1,0,7,0
35,17,0,Bachelor,Full-time,58,Same Religion,0,6,3,Avoidant,6,1,0,0,10,2,Love,1,0,8,0
24,10,1,Bachelor,Homemaker,61,Same Religion,0,6,2,Passive,4,1,1,1,5,5,Love,1,0,6,1
26,34,2,Bachelor,Part-time,38,Same Religion,0,6,3,Collaborative,4,0,0,0,8,2,Arranged,0,0,3,0
32,12,0,Master,Full-time,69,Same Religion,0,8,2,Collaborative,5,0,0,0,5,1,Arranged,0,0,7,0
21,25,2,Bachelor,Full-time,53,Different Religion,1,5,0,Collaborative,7,0,0,1,3,3,Love,1,0,7,0
29,7,1,Master,Part-time,66,Same Religion,1,10,2,Aggressive,9,0,0,0,5,1,Arranged,0,0,5,1
34,1,2,Bachelor,Full-time,59,Different Religion,0,6,0,Avoidant,3,0,0,0,8,1,Love,1,0,6,0
19,7,1,No Formal Education,Homemaker,32,Not Religious,1,8,2,Passive,7,0,0,0,5,4,Love,0,0,7,1
28,1,2,Bachelor,Full-time,86,Same Religion,1,3,2,Aggressive,4,0,0,0,6,3,Other,0,0,5,1
29,8,0,PhD,Full-time,60,Same Religion,1,5,1,Aggressive,5,0,1,0,5,2,Arranged,1,1,7,0
31,6,1,Master,Homemaker,53,Same Religion,1,8,3,Passive,6,0,0,0,6,3,Love,1,0,6,1
21,9,1,Bachelor,Homemaker,72,Same Religion,0,7,1,Passive,4,0,0,0,8,4,Arranged,0,0,6,0
21,1,4,Bachelor,Full-time,37,Different Religion,1,6,1,Aggressive,4,1,0,0,5,2,Arranged,0,0,5,1
30,2,1,High School,Unemployed,29,Same Religion,1,8,2,Avoidant,10,0,0,0,8,4,Love,1,0,3,0
29,6,2,No Formal Education,Full-time,71,Same Religion,0,10,0,Avoidant,5,0,0,0,3,4,Love,0,0,4,1
29,30,1,High School,Unemployed,83,Same Religion,1,4,1,Aggressive,6,0,0,0,1,6,Love,1,0,5,0
29,4,1,Bachelor,Homemaker,66,Different Religion,0,8,2,Collaborative,10,0,0,0,4,4,Love,1,0,3,1
24,5,1,Bachelor,Full-time,76,Same Religion,0,5,1,Aggressive,9,0,0,0,7,1,Love,1,0,4,1
29,12,3,Bachelor,Full-time,35,Not Religious,0,8,1,Aggressive,5,1,0,0,5,4,Love,1,0,7,0
29,9,1,Bachelor,Full-time,53,Different Religion,1,5,2,Aggressive,3,0,0,1,5,8,Love,0,0,5,0
24,3,1,PhD,Full-time,47,Same Religion,1,7,4,Aggressive,2,0,0,0,3,4,Love,0,0,7,0
37,5,0,Bachelor,Full-time,81,Same Religion,1,7,3,Passive,2,0,0,1,3,2,Love,1,0,8,1
30,2,1,No Formal Education,Unemployed,70,Same Religion,1,5,1,Collaborative,4,0,1,0,4,4,Other,1,0,3,0
22,33,1,Bachelor,Full-time,81,Same Religion,1,5,1,Collaborative,2,0,0,0,6,5,Love,1,0,10,0
31,1,2,High School,Full-time,48,Not Religious,1,6,4,Passive,5,0,0,1,8,3,Love,0,0,6,0
23,4,2,High School,Unemployed,37,Same Religion,1,3,1,Aggressive,3,0,0,1,5,2,Love,1,0,3,0
31,1,1,Master,Full-time,87,Same Religion,1,7,3,Collaborative,4,1,0,0,4,3,Arranged,0,0,8,0
33,2,3,High School,Full-time,61,Same Religion,1,9,1,Passive,5,0,0,0,4,2,Love,1,0,6,0
23,15,0,Bachelor,Full-time,81,Same Religion,1,3,0,Collaborative,4,0,1,0,8,1,Arranged,1,0,1,0
32,2,0,High School,Part-time,59,Same Religion,0,7,4,Collaborative,2,0,0,0,5,1,Love,1,0,4,1
30,1,1,Bachelor,Full-time,104,Same Religion,1,7,1,Collaborative,6,0,0,0,6,3,Arranged,0,0,5,1
32,6,3,Master,Unemployed,84,Same Religion,1,5,2,Collaborative,8,1,0,0,5,1,Love,1,0,8,0
37,1,1,Bachelor,Full-time,57,Same Religion,1,10,0,Passive,8,0,0,0,3,1,Arranged,1,0,5,0
26,1,4,High School,Part-time,60,Same Religion,1,8,3,Collaborative,7,0,1,0,5,2,Love,0,0,5,1
24,16,0,High School,Part-time,60,Same Religion,1,8,3,Collaborative,4,0,0,0,7,4,Love,0,0,7,0
23,14,1,Bachelor,Part-time,37,Same Religion,1,6,1,Aggressive,3,0,0,1,5,4,Love,0,0,5,0
23,24,2,High School,Full-time,50,Same Religion,0,3,0,Avoidant,7,1,0,0,5,1,Love,0,1,5,0
27,19,0,Bachelor,Full-time,49,Same Religion,1,6,0,Collaborative,6,0,0,1,3,5,Arranged,1,1,9,1
29,11,0,Bachelor,Homemaker,65,Same Religion,1,6,1,Aggressive,7,0,0,0,9,3,Love,0,1,7,0
29,1,0,High School,Full-time,44,Same Religion,0,8,4,Aggressive,10,0,0,0,6,0,Arranged,0,0,5,1
32,15,0,Bachelor,Full-time,57,Same Religion,1,5,1,Avoidant,5,1,0,1,8,5,Love,1,0,9,0
28,18,0,Bachelor,Part-time,53,Same Religion,1,9,4,Avoidant,3,0,0,0,5,3,Love,1,0,9,0
35,16,1,Bachelor,Unemployed,62,Same Religion,0,5,2,Collaborative,4,0,0,1,7,1,Other,1,0,7,0
26,7,2,Bachelor,Full-time,89,Same Religion,1,7,1,Avoidant,5,0,1,0,6,5,Arranged,0,0,7,0
41,2,3,Bachelor,Part-time,82,Same Religion,1,5,1,Passive,4,0,0,1,7,1,Love,0,0,8,0
31,18,3,Bachelor,Part-time,34,Same Religion,0,6,5,Avoidant,7,0,0,1,10,3,Arranged,0,0,6,0
23,12,3,Master,Full-time,59,Same Religion,1,3,1,Collaborative,7,0,0,1,6,2,Love,0,0,9,0
22,39,2,High School,Part-time,54,Different Religion,1,6,4,Collaborative,8,0,0,0,6,2,Love,1,0,5,1
30,1,1,Bachelor,Unemployed,47,Same Religion,1,4,1,Collaborative,8,1,0,0,7,2,Arranged,1,0,5,0
26,2,2,Bachelor,Homemaker,103,Same Religion,1,7,0,Passive,1,0,0,0,4,1,Love,1,0,3,0
31,2,1,Bachelor,Full-time,49,Same Religion,1,7,1,Aggressive,3,0,1,1,4,5,Other,1,0,4,0
30,15,1,Master,Part-time,51,Same Religion,1,6,5,Passive,5,0,0,0,6,2,Love,0,0,5,1
27,2,1,Bachelor,Full-time,95,Same Religion,0,5,3,Aggressive,2,0,0,0,6,4,Arranged,0,0,5,1
23,1,2,Bachelor,Full-time,79,Same Religion,0,7,2,Passive,5,0,0,1,10,3,Love,1,0,5,0
20,40,1,Bachelor,Part-time,51,Same Religion,1,8,0,Aggressive,3,0,0,0,4,3,Love,0,0,10,0
25,1,0,Master,Full-time,75,Not Religious,1,6,1,Avoidant,4,0,0,1,6,7,Love,1,0,5,0
32,18,0,No Formal Education,Full-time,55,Same Religion,1,5,4,Collaborative,9,0,1,0,6,1,Love,1,0,6,0
29,4,2,Bachelor,Full-time,57,Not Religious,0,3,1,Collaborative,8,0,1,0,4,3,Love,1,0,2,1
21,18,0,Master,Full-time,44,Not Religious,1,6,2,Avoidant,5,1,0,0,7,5,Love,0,0,4,0
28,8,1,High School,Full-time,11,Not Religious,1,8,1,Collaborative,3,0,0,0,7,4,Arranged,1,0,4,0
29,23,1,Bachelor,Full-time,32,Not Religious,1,9,0,Avoidant,6,0,0,0,6,2,Arranged,1,0,8,0
23,26,2,High School,Part-time,38,Same Religion,1,6,0,Avoidant,1,0,0,0,8,4,Love,0,0,7,0
28,1,3,High School,Full-time,68,Same Religion,1,3,1,Collaborative,7,1,0,0,3,3,Love,1,0,5,0
28,1,1,Bachelor,Part-time,63,Same Religion,1,5,0,Aggressive,6,0,0,0,8,4,Love,0,0,8,0
22,2,1,Master,Homemaker,82,Same Religion,1,8,6,Avoidant,2,0,1,1,4,4,Love,0,0,7,0
29,11,0,Bachelor,Full-time,36,Same Religion,1,8,2,Passive,8,0,1,1,3,4,Love,1,0,9,1
30,21,4,Bachelor,Part-time,96,Not Religious,0,4,2,Collaborative,4,0,0,0,6,2,Arranged,1,0,7,0
33,6,0,Bachelor,Part-time,94,Same Religion,1,10,0,Aggressive,3,0,0,0,2,5,Love,0,0,10,0
33,9,2,Bachelor,Part-time,61,Same Religion,1,4,5,Collaborative,5,0,0,1,6,5,Love,1,0,3,1
21,2,0,High School,Full-time,46,Different Religion,1,5,1,Collaborative,2,1,0,0,7,2,Love,1,0,6,0
23,16,0,Bachelor,Part-time,47,Same Religion,1,7,3,Passive,3,0,0,0,3,5,Love,1,0,7,1
30,34,4,Bachelor,Full-time,64,Same Religion,1,6,3,Collaborative,6,0,0,0,4,4,Love,0,0,4,1
30,3,4,Bachelor,Full-time,98,Same Religion,1,5,3,Collaborative,4,0,0,0,7,3,Love,0,0,7,1
30,6,4,High School,Part-time,58,Not Religious,0,6,3,Avoidant,9,1,0,0,4,1,Arranged,0,0,4,1
45,1,1,High School,Full-time,28,Same Religion,1,8,1,Aggressive,1,1,0,0,3,5,Love,1,0,3,1
30,8,3,Bachelor,Part-time,98,Different Religion,1,10,3,Collaborative,5,0,0,0,5,6,Love,0,0,9,1
33,6,3,Bachelor,Part-time,52,Same Religion,1,7,1,Collaborative,8,0,0,0,8,1,Love,1,0,6,0
32,1,0,Bachelor,Unemployed,89,Not Religious,1,5,1,Aggressive,7,0,0,0,9,3,Love,0,0,5,0
31,5,0,High School,Full-time,73,Same Religion,1,6,2,Passive,3,0,1,0,4,2,Love,1,0,5,0
26,4,3,Bachelor,Homemaker,57,Different Religion,0,10,5,Avoidant,10,0,0,0,8,1,Arranged,1,0,3,0
31,7,1,Master,Part-time,79,Not Religious,1,8,1,Avoidant,1,0,0,0,8,2,Love,0,0,10,1
24,8,4,Master,Full-time,45,Same Religion,0,9,0,Avoidant,5,0,0,0,10,1,Love,0,0,3,1
26,1,2,Master,Full-time,54,Same Religion,1,8,1,Collaborative,7,0,1,0,5,2,Arranged,1,0,6,0
25,14,0,High School,Part-time,49,Same Religion,0,8,1,Avoidant,8,0,0,0,8,3,Love,0,0,6,0
28,12,0,Bachelor,Homemaker,56,Same Religion,0,6,6,Passive,3,0,0,0,6,1,Love,1,0,6,0
39,4,1,High School,Part-time,71,Not Religious,1,9,2,Passive,5,0,1,0,5,4,Love,0,0,3,0
18,1,1,Bachelor,Part-time,71,Same Religion,1,1,2,Avoidant,7,0,0,0,7,3,Love,1,0,10,0
31,14,1,High School,Full-time,29,Not Religious,1,7,0,Aggressive,5,0,0,0,2,2,Love,1,0,3,0
19,31,1,Master,Full-time,49,Different Religion,1,7,4,Avoidant,2,0,1,0,8,5,Arranged,1,0,5,1
25,2,0,Bachelor,Full-time,53,Same Religion,1,4,4,Aggressive,1,0,0,1,9,3,Arranged,1,0,5,1
33,3,1,Bachelor,Unemployed,72,Same Religion,1,7,4,Collaborative,3,0,0,0,7,4,Love,1,0,8,1
28,2,1,Bachelor,Full-time,32,Same Religion,0,7,3,Collaborative,4,1,0,1,5,6,Love,0,0,5,0
22,8,2,High School,Full-time,74,Same Religion,1,3,4,Avoidant,3,0,0,0,5,4,Love,1,0,6,0
24,1,0,Bachelor,Full-time,37,Same Religion,1,7,1,Passive,10,0,0,0,9,2,Love,1,0,9,1
31,4,3,Bachelor,Homemaker,65,Same Religion,1,9,3,Passive,6,1,0,0,3,3,Love,0,0,6,0
24,11,3,Bachelor,Unemployed,82,Not Religious,1,9,4,Collaborative,4,0,1,0,8,1,Love,0,0,5,0
